Lattice ID,Length of the first vector,Root Hermite Factor,Orthogonality Defect,Run time,Lattice dimension
0,882.480594687498,1.0104008887867038,3.1489980234097525,0.0,100
1,889.1377845980903,1.010759407361496,3.269163002439524,0.0,100
2,882.528753072669,1.0105888103232503,3.2443583244053538,0.0,100
3,881.6637681111774,1.010524332158582,3.205886493001197,0.0,100
4,854.4682557005848,1.010381044360554,3.2644183657095933,0.0,100
5,879.2786816476332,1.0105766239345515,3.2115107105230494,0.0,100
6,825.7166584246681,1.0100961173217666,3.302147142385533,0.0,100
7,884.1221635045691,1.0109003040787332,3.3185558542342277,0.0,100
8,916.0278380049375,1.0109912807415,3.2299732304467126,0.0,100
9,887.6159079241426,1.010543339270081,3.189736535549374,0.0,100
